Year,Month,Prec_Cape,Prec_Accra,Prec_Kumasi
1991,1,1.528125,0.440625,1.74375
1991,2,0.972413793,0.25862069,2.962068966
1991,3,0.09375,1.725,2.525
1991,4,5.996774194,5.770967742,4.429032258
1991,5,13.39375,8.834375,9.746875
1991,6,5.806451613,4.177419355,5.735483871
1991,7,8.434375,8.440625,2.971875
1991,8,1.759375,0.909375,2.428125
1991,9,0.825806452,0.690322581,4.909677419
1991,10,4.240625,2.315625,4.140625
1991,11,0.361290323,0.377419355,1.119354839
1991,12,0.375,0.375,0.378125
1992,1,0.03125,0.03125,0.14375
1992,2,0.066666667,0.066666667,0.25
1992,3,0.78125,3.00625,2.415625
1992,4,3.058064516,2.25483871,5.058064516
1992,5,6.259375,5.503125,4.853125
1992,6,2.712903226,3.193548387,4.474193548
1992,7,1.740625,1.959375,2.69375
1992,8,0.271875,0.515625,1.2
1992,9,2.493548387,0.55483871,10.38064516
1992,10,1.8625,1.409375,1.85
1992,11,0.783870968,1.196774194,2.470967742
1992,12,1.5375,0.38125,0.596875
1993,1,0.64375,0.675,0.09375
1993,2,0.613793103,0.268965517,1.9
1993,3,2.121875,0.290625,3.765625
1993,4,3.319354839,3.232258065,5.05483871
1993,5,1.696875,1.6875,4.53125
1993,6,5.122580645,2.819354839,11.12580645
1993,7,0.3,0.346875,1.1875
1993,8,1.303125,0.7875,3.45625
1993,9,2.393548387,2.709677419,5.709677419
1993,10,2.690625,1.475,8.346875
1993,11,2.190322581,2.506451613,2.04516129
1993,12,0.715625,1.93125,1.209375
1994,1,0.459375,0.03125,0.03125
1994,2,1.303448276,0.313793103,0.320689655
1994,3,2.046875,1.740625,1.721875
1994,4,1.438709677,0.325806452,6.416129032
1994,5,5.70625,4.38125,6.684375
1994,6,4.777419355,5.938709677,3.938709677
1994,7,1.146875,0.5625,3.234375
1994,8,0.65,0.76875,2.221875
1994,9,4.151612903,1.083870968,5.325806452
1994,10,5.525,3.125,5.90625
1994,11,1.64516129,1.209677419,1.490322581
1994,12,0.375,0.375,0.375
1995,1,0.09375,0.03125,0.03125
1995,2,0.068965517,1.017241379,0.093103448
1995,3,3.053125,4.934375,3.89375
1995,4,5.170967742,3.025806452,6.541935484
1995,5,5.934375,2.921875,5.65
1995,6,8.590322581,9.170967742,5.196774194
1995,7,4.43125,8.778125,4.4875
1995,8,1.24375,0.609375,4.890625
1995,9,1.096774194,0.361290323,4.767741935
1995,10,1.465625,1.5375,3.303125
1995,11,2.306451613,2.377419355,1.64516129
1995,12,0.375,0.415625,3.9875
1996,1,0.03125,0.03125,0.146875
1996,2,0.696666667,1.743333333,2.74
1996,3,1.165625,1.9375,2.35
1996,4,2.961290323,2.909677419,3.735483871
1996,5,12.49375,7.846875,4.709375
1996,6,9.04516129,4.267741935,3.612903226
1996,7,2.328125,2.365625,6.553125
1996,8,2.890625,1.4625,3.675
1996,9,0.751612903,0.774193548,2.629032258
1996,10,0.74375,0.53125,2.86875
1996,11,1.267741935,0.85483871,0.44516129
1996,12,0.490625,0.490625,1.996875
1997,1,0.03125,0.11875,1.709375
1997,2,0.1,0.068965517,1.206896552
1997,3,5.490625,5.88125,4.40625
1997,4,3.580645161,8.819354839,9.7
1997,5,6.79375,4.396875,6.990625
1997,6,18.27419355,11.59032258,8.264516129
1997,7,1.165625,1.4,2.5125
1997,8,0.45,0.39375,2.09375
1997,9,1.125806452,0.596774194,3.396774194
1997,10,3.534375,3.8125,4.9125
1997,11,2.216129032,1.925806452,0.712903226
1997,12,4.590625,2.390625,0.728125
1998,1,0.840625,0.03125,1.65
1998,2,0.213793103,0.368965517,0.986206897
1998,3,0.13125,0.140625,1.215625
1998,4,0.919354839,0.941935484,8.75483871
1998,5,4.44375,5.734375,5.884375
1998,6,1.064516129,1.351612903,6.280645161
1998,7,0.765625,0.603125,1.984375
1998,8,0.625,0.265625,2.6125
1998,9,0.396774194,0.722580645,2.7
1998,10,3.79375,6.840625,2.703125
1998,11,1.706451613,0.809677419,1.112903226
1998,12,0.725,0.83125,1.365625
1999,1,1.35625,0.6375,1.946875
1999,2,0.872413793,1.4,0.962068966
1999,3,1.378125,0.30625,3.5375
1999,4,4.577419355,1.648387097,7.129032258
1999,5,5.4375,1.815625,3.334375
1999,6,8.819354839,10.7516129,7.222580645
1999,7,3.190625,2.153125,6.55
1999,8,2.371875,0.85625,3.815625
1999,9,0.838709677,1.277419355,4.651612903
1999,10,1.93125,1.15,6.696875
1999,11,2.158064516,0.625806452,1.612903226
1999,12,1.728125,0.45,0.375
2000,1,0.93125,0.053125,1.98125
2000,2,0.086666667,0.066666667,0.306666667
2000,3,3.8375,1.94375,3.55
2000,4,4.138709677,1.038709677,6.780645161
2000,5,5.921875,4.128125,5.425
2000,6,7.25483871,3.948387097,12.23225806
2000,7,2.009375,0.840625,5.00625
2000,8,0.484375,0.6375,2.290625
2000,9,0.387096774,0.567741935,4.938709677
2000,10,2.10625,1.4625,4.059375
2000,11,1.841935484,1.190322581,2.864516129
2000,12,4.840625,1.2,0.375
2001,1,0.03125,0.1125,0.03125
